"id","title","continent_id"
"199","Algeria","7"
"200","Angola","7"
"201","Benin","7"
"202","Botswana","7"
"203","Burkina Faso","7"
"204","Burundi","7"
"205","Cameroon","7"
"206","Cape Verde","7"
"207","Central African Republic","7"
"208","Chad","7"
"209","Comoros","7"
"210","Democratic Republic of Congo","7"
"211","Djibouti","7"
"212","Egypt","7"
"213","Equatorial Guinea","7"
"214","Eritrea","7"
"215","Ethiopia","7"
"216","Gabon","7"
"217","Gambia","7"
"218","Ghana","7"
"219","Guinea","7"
"220","Guinea-Bissau","7"
"221","Ivory Coast","7"
"222","Kenya","7"
"223","Lesotho","7"
"224","Liberia","7"
"225","Libya","7"
"226","Madagascar","7"
"227","Malawi","7"
"228","Mali","7"
"229","Mauritania","7"
"230","Mauritius","7"
"231","Morocco","7"
"232","Mozambique","7"
"233","Namibia","7"
"234","Niger","7"
"235","Nigeria","7"
"236","Republic of the Congo","7"
"237","Rwanda","7"
"238","S?o Tomâ€š and PrÂ¡ncipe","7"
"239","Senegal","7"
"240","Seychelles","7"
"241","Sierra Leone","7"
"242","Somalia","7"
"243","South Africa","7"
"244","South Sudan","7"
"245","Sudan","7"
"246","Swaziland","7"
"247","Tanzania","7"
"248","Togo","7"
"249","Tunisia","7"
"250","Uganda","7"
"251","Zambia","7"
"252","Zimbabwe","7"
"253","Afghanistan","8"
"254","Armenia","8"
"255","Azerbaijan","8"
"256","Bahrain","8"
"257","Bangladesh","8"
"258","Bhutan","8"
"259","Brunei","8"
"260","Cambodia","8"
"261","China","8"
"262","Georgia","8"
"263","India","8"
"264","Indonesia","8"
"265","Iran","8"
"266","Iraq","8"
"267","Israel","8"
"268","Japan","8"
"269","Jordan","8"
"270","Kazakhstan","8"
"271","Korea, North","8"
"272","Korea, South","8"
"273","Kuwait","8"
"274","Kyrgyzstan","8"
"275","Laos","8"
"276","Lebanon","8"
"277","Malaysia","8"
"278","Maldives","8"
"279","Mongolia","8"
"280","Myanmar","8"
"281","Nepal","8"
"282","Oman","8"
"283","Pakistan","8"
"284","Palestine","8"
"285","Philippines","8"
"286","Qatar","8"
"287","Saudi Arabia","8"
"288","Singapore","8"
"289","Sri Lanka","8"
"290","Syria","8"
"291","Taiwan","8"
"292","Tajikistan","8"
"293","Thailand","8"
"294","Turkey","8"
"295","Turkmenistan","8"
"296","United Arab Emirates","8"
"297","Uzbekistan","8"
"298","Vietnam","8"
"299","Yemen","8"
"300","Albania","9"
"301","Andorra","9"
"302","Austria","9"
"303","Belarus","9"
"304","Belgium","9"
"305","Bosnia and Herzegovina","9"
"306","Bulgaria","9"
"307","Croatia","9"
"308","Cyprus","9"
"309","Czech Republic","9"
"310","Denmark","9"
"311","Estonia","9"
"312","Finland","9"
"313","France","9"
"314","Germany","9"
"315","Greece","9"
"316","Hungary","9"
"317","Iceland","9"
"318","Ireland","9"
"319","Italy","9"
"320","Kosovo","9"
"321","Latvia","9"
"322","Liechtenstein","9"
"323","Lithuania","9"
"324","Luxembourg","9"
"325","Macedonia","9"
"326","Malta","9"
"327","Moldova","9"
"328","Monaco","9"
"329","Montenegro","9"
"330","Netherlands","9"
"331","Norway","9"
"332","Poland","9"
"333","Portugal","9"
"334","Romania","9"
"335","Russia","9"
"336","San Marino","9"
"337","Serbia","9"
"338","Slovakia","9"
"339","Slovenia","9"
"340","Spain","9"
"341","Sweden","9"
"342","Switzerland","9"
"343","Ukraine","9"
"344","United Kingdom","9"
"345","Vatican City","9"
"346","Antigua and Barbuda","10"
"347","Bahamas","10"
"348","Barbados","10"
"349","Belize","10"
"350","Bermuda","10"
"351","Canada","10"
"352","Costa Rica","10"
"353","Cuba","10"
"354","Dominica","10"
"355","Dominican Republic","10"
"356","El Salvador","10"
"357","Grenada","10"
"358","Guatemala","10"
"359","Haiti","10"
"360","Honduras","10"
"361","Jamaica","10"
"362","Mexico","10"
"363","Nicaragua","10"
"364","Panama","10"
"365","St. Kitts and Nevis","10"
"366","St. Lucia","10"
"367","St. Vincent and The Grenadines","10"
"368","Trinidad and Tobago","10"
"369","United States","10"
"370","Australia","11"
"371","East Timor","11"
"372","Fiji","11"
"373","Kiribati","11"
"374","Marshall Islands","11"
"375","Micronesia","11"
"376","Nauru","11"
"377","New Zealand","11"
"378","Palau","11"
"379","Papua New Guinea","11"
"380","Samoa","11"
"381","Solomon Islands","11"
"382","Tonga","11"
"383","Tuvalu","11"
"384","Vanuatu","11"
"385","Argentina","12"
"386","Bolivia","12"
"387","Brazil","12"
"388","Chile","12"
"389","Colombia","12"
"390","Ecuador","12"
"391","Guyana","12"
"392","Paraguay","12"
"393","Peru","12"
"394","Suriname","12"
"395","Uruguay","12"
"396","Venezuela","12"
